country,region,year,gdp_growth,inflation_rate,unemployment_rate,fdi_pct_gdp,trade_openness,literacy_rate,population_growth,internet_penetration,government_debt_pct,natural_resources_rents,growth_category
Congo,Central Africa,2002,3.85,21.96,10.21,2.45,68.69,28.09,4.94,25.22,41.31,0.3,low
Libya,North Africa,2017,2.06,3.03,11.82,4.94,60.54,62.49,2.11,7.39,87.19,2.02,low
Tanzania,East Africa,2019,2.88,8.54,17.36,0.11,34.8,57.79,3.79,11.17,90.24,6.67,low
Botswana,Southern Africa,2013,3.97,0.55,8.02,1.82,27.29,48.2,3.58,18.86,52.52,4.79,medium
Zambia,Southern Africa,2004,4.77,0.39,11.24,3.76,65.26,51.46,2.06,46.33,55.91,5.4,high
Lesotho,Southern Africa,2003,6.31,4.68,12.06,4.63,87.66,57.62,2.14,16.41,53.99,8.0,medium
Egypt,North Africa,2010,7.74,7.35,17.19,3.26,61.59,82.86,1.66,46.46,42.1,7.1,high
Sudan,North Africa,2012,3.62,8.67,11.4,4.12,76.27,84.66,3.29,20.75,44.09,8.86,medium
Guinea,West Africa,2013,3.13,13.9,22.85,3.7,80.26,48.29,2.08,6.76,81.39,5.58,low
Morocco,North Africa,2005,5.81,11.74,11.06,3.09,65.34,55.67,1.68,24.69,63.75,0.81,low
Niger,West Africa,2012,6.33,6.14,10.57,2.76,43.71,56.13,3.04,28.3,43.92,1.2,medium
Liberia,West Africa,2007,3.2,4.5,10.97,2.43,63.91,79.57,1.6,25.9,36.48,6.24,medium
Algeria,North Africa,2016,6.87,3.42,4.1,4.08,84.14,67.62,2.17,16.36,39.84,11.63,medium
Liberia,West Africa,2019,7.44,0.04,5.78,4.53,70.6,66.67,2.61,15.47,51.72,2.7,high
Kenya,East Africa,2015,8.38,8.04,8.82,4.0,74.96,74.65,1.86,21.76,73.26,4.06,medium
Sudan,North Africa,2000,9.83,13.52,18.81,0.55,50.75,54.26,2.01,3.67,37.8,9.06,low
Togo,West Africa,2023,1.9,10.37,11.8,1.0,55.95,89.55,4.03,11.08,73.03,6.22,low
Lesotho,Southern Africa,2000,4.54,2.97,9.09,4.5,57.63,64.97,2.3,40.17,58.94,7.68,high
Sudan,North Africa,2023,4.53,4.44,19.36,7.18,58.97,49.59,2.14,20.27,57.86,0.87,medium
Cameroon,Central Africa,2000,4.21,3.3,21.31,3.88,83.36,60.87,2.32,25.79,75.52,0.62,medium
Cabo Verde,West Africa,2012,2.55,4.16,19.53,2.47,13.06,87.17,2.95,18.1,71.87,12.1,low
Namibia,Southern Africa,2002,0.04,5.56,6.88,4.06,60.61,57.35,1.47,3.42,26.91,1.87,low
Togo,West Africa,2002,4.78,0.67,9.03,0.66,58.41,82.09,2.93,13.52,33.32,1.23,medium
Zimbabwe,Southern Africa,2016,2.19,1.95,22.88,6.77,32.57,53.74,2.76,39.21,50.41,0.33,medium
Burkina Faso,West Africa,2017,4.76,0.82,13.45,3.97,73.44,51.22,0.71,5.09,62.12,0.42,medium
Sierra Leone,West Africa,2002,2.12,0.07,10.39,1.83,45.51,76.87,4.29,56.86,82.29,4.49,high
Togo,West Africa,2023,1.2,2.58,16.31,3.08,52.86,49.27,3.96,34.65,56.3,17.15,medium
Cameroon,Central Africa,2007,5.2,3.84,18.04,2.18,96.98,79.81,1.7,25.98,89.07,2.28,medium
Ethiopia,East Africa,2007,4.95,3.52,8.57,6.78,80.2,71.33,1.38,29.88,40.87,9.55,medium
Algeria,North Africa,2007,6.24,0.25,13.32,2.99,71.49,49.28,2.73,19.61,44.25,9.25,medium
Sao Tome and Principe,Central Africa,2011,11.06,12.01,17.56,3.89,67.62,63.71,1.07,42.32,48.89,2.52,high
Zambia,Southern Africa,2004,5.33,1.16,5.04,4.93,56.71,55.12,3.86,33.17,38.66,2.79,high
Guinea,West Africa,2010,5.96,6.42,12.07,1.65,99.99,71.28,2.03,3.95,78.19,3.02,medium
Rwanda,East Africa,2005,1.27,6.78,5.31,3.98,76.04,98.98,4.12,16.15,10.0,12.31,low
Lesotho,Southern Africa,2001,0.64,0.87,6.1,4.19,45.01,58.33,1.68,19.44,44.93,1.48,low
DRC,Central Africa,2008,9.25,0.23,8.62,0.0,32.0,74.61,2.39,18.34,77.96,0.49,high
Tanzania,East Africa,2016,1.73,0.18,14.86,4.13,71.34,65.44,3.77,38.65,48.75,1.32,medium
Madagascar,Southern Africa,2018,1.37,2.3,10.07,3.39,58.88,65.43,2.18,11.25,76.46,4.83,low
Guinea,West Africa,2008,4.38,6.06,8.11,3.82,31.42,62.03,2.77,10.3,98.95,5.05,medium
Liberia,West Africa,2007,4.23,1.01,12.31,3.59,68.57,49.57,3.59,42.63,56.61,7.99,medium
Guinea,West Africa,2018,1.79,0.51,5.12,4.15,54.62,71.03,1.94,10.4,78.38,4.39,low
Zimbabwe,Southern Africa,2016,3.59,6.26,14.57,6.84,70.61,59.8,1.24,18.29,103.38,0.07,low
Cabo Verde,West Africa,2019,8.19,1.09,18.79,0.55,68.83,48.71,1.04,8.87,63.04,15.74,medium
Sudan,North Africa,2021,2.08,11.62,11.52,2.64,47.83,83.26,3.08,28.99,54.04,21.12,low
South Africa,Southern Africa,2019,0.32,4.72,10.78,5.17,72.66,66.78,2.89,26.03,73.05,3.47,low
Tunisia,North Africa,2022,7.33,6.19,14.24,4.7,50.04,60.89,3.56,13.0,78.68,2.05,medium
Rwanda,East Africa,2009,5.98,14.59,1.0,4.65,51.34,89.12,2.23,16.3,54.22,0.63,medium
Guinea-Bissau,West Africa,2009,2.64,1.24,15.22,10.38,49.35,31.95,1.07,17.23,45.32,0.25,medium
Madagascar,Southern Africa,2007,-0.25,5.72,30.61,5.04,82.62,87.91,0.15,17.5,89.35,0.58,low
Sao Tome and Principe,Central Africa,2005,2.27,2.95,11.26,6.33,54.39,49.16,5.37,31.68,49.59,12.91,medium
Niger,West Africa,2017,4.34,0.99,11.29,2.73,87.45,68.81,3.03,9.07,78.87,15.69,medium
Tunisia,North Africa,2017,8.0,6.31,16.46,1.02,95.67,54.41,2.64,25.71,60.26,1.2,medium
Burundi,East Africa,2019,1.39,0.25,21.87,2.71,45.23,48.39,2.78,1.59,91.54,1.57,low
Mauritius,East Africa,2004,4.25,13.1,17.85,5.28,10.0,88.65,1.07,30.68,38.02,5.3,medium
Senegal,West Africa,2011,6.53,8.03,1.0,4.52,80.89,98.41,1.71,20.0,37.98,3.61,medium
Cameroon,Central Africa,2005,-2.64,27.61,15.38,4.51,53.16,61.02,4.24,5.23,72.09,19.98,low
Ethiopia,East Africa,2021,7.6,4.31,27.43,2.96,42.68,71.04,3.16,17.23,32.39,3.96,medium
Mali,West Africa,2006,0.95,17.63,15.73,2.57,48.23,66.03,1.74,15.99,57.33,1.96,low
Equatorial Guinea,Central Africa,2003,5.5,1.41,5.07,3.05,51.7,96.15,1.27,23.13,85.97,14.42,medium
Nigeria,West Africa,2013,5.24,5.28,13.69,5.31,85.94,26.96,1.98,1.77,19.3,0.52,medium
Djibouti,East Africa,2021,7.75,5.25,4.32,5.6,63.2,71.79,2.18,40.11,63.04,0.64,high
Tunisia,North Africa,2021,6.15,8.12,19.4,0.98,85.67,51.91,4.55,12.49,79.23,1.75,low
Algeria,North Africa,2002,-2.63,20.36,6.26,5.41,69.88,22.59,2.31,5.85,54.48,4.09,low
Angola,Southern Africa,2007,2.15,11.09,12.45,1.87,53.82,58.51,1.31,15.24,36.46,19.37,low
Tunisia,North Africa,2003,4.91,0.54,6.85,4.67,52.19,98.26,2.44,15.85,49.75,5.47,medium
Angola,Southern Africa,2007,3.92,5.85,8.72,3.02,71.23,53.19,2.76,11.42,38.23,1.25,medium
Kenya,East Africa,2012,5.93,2.69,20.92,7.41,76.41,79.23,1.22,11.23,56.38,7.6,medium
Liberia,West Africa,2006,6.87,0.95,12.62,2.45,79.94,86.58,2.9,3.48,49.47,1.6,medium
Liberia,West Africa,2001,6.33,4.57,8.64,3.95,54.77,64.77,3.71,26.75,44.73,3.11,medium
Kenya,East Africa,2012,3.86,3.58,5.13,5.02,63.5,67.17,2.64,4.91,64.32,10.03,medium
Cameroon,Central Africa,2001,-1.04,0.24,1.0,1.32,71.68,34.11,1.7,14.98,86.58,0.0,low
Côte d'Ivoire,West Africa,2005,3.13,5.55,4.49,3.32,52.32,52.11,1.97,36.28,61.56,7.97,medium
Congo,Central Africa,2000,5.75,0.69,12.67,2.83,37.3,81.33,0.84,10.52,81.87,4.58,medium
Gambia,West Africa,2002,1.23,9.75,17.88,2.22,43.87,66.09,2.37,24.92,86.58,4.36,low
Gambia,West Africa,2010,6.39,2.11,8.64,2.4,55.18,71.61,2.81,14.2,43.27,6.57,medium
Cabo Verde,West Africa,2020,7.23,6.28,21.42,6.28,73.24,67.4,1.6,27.99,60.5,1.82,medium
Gabon,Central Africa,2018,4.88,1.33,7.69,2.0,85.18,99.0,4.44,28.16,46.5,0.39,medium
Niger,West Africa,2002,-4.69,16.09,10.57,4.92,32.88,57.25,3.29,29.18,25.36,0.14,low
Kenya,East Africa,2000,0.67,0.38,5.52,4.29,48.05,93.9,0.71,38.3,62.12,11.33,medium
Sierra Leone,West Africa,2008,10.16,15.36,17.94,0.01,52.84,67.4,0.73,10.41,33.96,6.45,low
Comoros,East Africa,2015,2.86,1.39,24.59,4.8,75.89,95.5,1.52,17.04,64.69,1.86,low
Seychelles,East Africa,2017,-1.45,1.1,1.43,0.0,49.44,42.95,4.07,26.95,23.88,2.81,low
Mozambique,Southern Africa,2019,8.21,6.44,9.92,5.07,51.41,68.32,3.39,5.73,58.42,9.17,medium
Mozambique,Southern Africa,2008,4.54,5.54,19.59,2.23,31.76,57.91,4.12,16.38,23.59,1.59,low
Ethiopia,East Africa,2004,7.81,22.14,3.32,3.52,69.67,67.51,2.51,11.03,68.48,2.4,low
Algeria,North Africa,2000,5.33,4.72,15.4,0.26,56.77,87.0,2.29,52.1,47.13,5.85,medium
Tunisia,North Africa,2003,5.88,1.63,19.33,3.81,46.92,71.82,1.25,54.77,45.2,2.16,high
Tunisia,North Africa,2001,5.59,6.2,12.47,5.82,54.81,86.97,2.85,7.72,77.53,2.44,medium
Mali,West Africa,2020,6.59,5.6,15.3,1.48,82.54,52.94,2.3,32.28,48.57,13.93,medium
Angola,Southern Africa,2006,11.33,5.59,22.57,1.98,39.9,50.19,2.27,15.36,57.22,1.99,medium
Equatorial Guinea,Central Africa,2019,7.41,23.84,23.69,4.64,43.17,65.29,4.12,40.73,51.03,3.02,low
Rwanda,East Africa,2013,-0.24,2.08,11.63,4.7,85.05,64.3,2.37,24.46,65.15,4.42,low
Guinea-Bissau,West Africa,2012,5.84,3.85,8.81,0.0,61.52,61.65,3.83,22.4,75.86,0.73,medium
Seychelles,East Africa,2010,7.92,12.16,6.48,8.54,73.4,47.74,0.91,18.36,71.71,7.06,high
Angola,Southern Africa,2019,8.11,7.41,17.86,4.82,68.04,86.58,5.19,11.05,45.67,0.41,medium
Ghana,West Africa,2001,3.22,1.61,3.77,5.24,59.29,58.47,2.13,23.19,79.18,5.1,medium
Sao Tome and Principe,Central Africa,2002,7.99,9.81,10.48,3.14,53.03,90.67,3.21,38.11,36.67,0.41,high
Libya,North Africa,2010,7.28,1.28,12.62,0.0,76.63,65.23,3.37,17.0,40.15,15.01,medium
Cameroon,Central Africa,2009,12.22,7.61,8.98,5.19,83.25,76.67,2.0,29.32,52.44,18.66,high
Libya,North Africa,2013,2.25,13.58,13.68,2.09,81.68,75.04,3.32,42.32,75.94,9.29,low
Benin,West Africa,2017,2.98,10.04,27.39,4.86,36.29,50.16,3.37,45.9,31.6,1.55,low
Comoros,East Africa,2014,3.58,0.1,11.27,2.95,86.1,71.61,1.79,21.44,72.83,6.62,medium
Côte d'Ivoire,West Africa,2006,3.03,4.98,9.39,4.1,52.84,99.0,1.8,8.15,53.91,7.38,medium
Namibia,Southern Africa,2007,1.83,1.17,18.09,1.56,44.9,69.53,2.55,46.41,46.33,3.33,medium
Cabo Verde,West Africa,2018,-3.79,2.73,13.44,5.66,56.61,81.22,2.38,25.04,76.96,2.97,low
Morocco,North Africa,2004,3.2,9.66,20.64,0.53,76.62,77.48,3.89,16.4,38.95,0.93,low
Sudan,North Africa,2012,5.61,1.34,12.99,9.11,70.81,70.53,3.2,14.45,100.71,8.68,high
Burundi,East Africa,2012,3.02,18.52,10.51,9.09,54.89,68.36,2.43,3.82,51.47,3.65,low
Egypt,North Africa,2018,10.31,0.19,1.3,7.58,76.75,74.85,3.11,30.55,58.0,5.26,high
Cameroon,Central Africa,2017,4.54,1.32,2.28,6.69,62.8,78.74,0.45,12.35,85.86,1.04,high
Senegal,West Africa,2011,8.37,0.36,1.0,3.29,48.54,40.66,1.88,15.78,58.52,0.37,high
Seychelles,East Africa,2007,5.28,4.77,14.28,6.42,45.84,69.45,2.79,20.26,78.78,0.0,medium
Namibia,Southern Africa,2008,6.98,2.0,3.83,3.26,68.2,61.69,3.62,46.97,15.94,9.05,high
Algeria,North Africa,2009,5.34,4.92,19.53,0.0,58.35,57.95,2.7,30.49,46.15,10.25,low
Djibouti,East Africa,2005,8.61,14.59,12.18,7.26,32.49,88.33,3.96,30.6,62.93,7.05,high
Tanzania,East Africa,2015,4.67,6.83,10.53,6.32,76.94,51.8,3.37,31.54,76.63,7.34,medium
Botswana,Southern Africa,2005,5.99,0.33,6.94,3.42,50.39,39.89,2.01,21.35,70.39,8.12,medium
Mauritius,East Africa,2015,5.6,0.04,15.73,0.44,91.84,79.32,2.36,8.44,68.52,6.7,medium
Djibouti,East Africa,2018,3.64,7.6,7.17,2.03,31.94,39.43,2.91,13.19,76.22,4.87,medium
Mozambique,Southern Africa,2023,5.71,0.73,6.09,0.0,56.39,30.3,2.05,37.15,64.5,8.69,high
Djibouti,East Africa,2002,11.2,5.15,19.13,5.86,46.0,81.35,4.03,22.27,12.14,4.83,high
Kenya,East Africa,2018,3.69,16.85,14.13,0.0,40.49,67.86,1.39,13.85,83.84,5.69,low
Benin,West Africa,2002,5.76,5.71,10.59,4.22,50.26,73.51,2.82,48.86,38.25,0.16,high
Rwanda,East Africa,2008,8.27,9.15,15.85,1.39,95.41,57.04,3.24,31.55,61.27,0.87,medium
Angola,Southern Africa,2004,7.92,3.38,12.05,0.0,62.87,40.08,2.19,28.31,58.62,0.58,medium
Ethiopia,East Africa,2003,4.54,3.49,14.3,4.1,44.17,43.66,1.96,23.72,55.95,6.66,medium
Gabon,Central Africa,2004,-2.65,0.25,7.1,2.67,23.43,60.1,2.42,15.49,32.88,9.85,low
Niger,West Africa,2001,6.05,1.12,24.42,5.6,25.57,42.1,3.31,23.73,16.23,0.22,medium
Liberia,West Africa,2019,-2.16,0.32,8.52,0.33,49.27,70.53,2.0,18.6,34.95,0.09,low
Zambia,Southern Africa,2001,8.91,2.65,21.34,1.61,47.33,56.68,1.43,18.72,71.52,15.24,medium
Mali,West Africa,2009,5.01,7.76,10.87,0.0,55.52,68.33,3.65,4.0,26.07,12.57,low
Djibouti,East Africa,2016,7.5,0.96,16.84,0.0,14.56,67.79,2.9,36.69,37.39,1.74,high
Tanzania,East Africa,2023,1.79,12.59,16.41,8.0,58.17,71.96,3.51,27.1,63.36,2.17,low
Gambia,West Africa,2020,-0.16,5.18,18.88,8.71,80.55,73.99,3.26,25.07,34.45,3.44,low
Botswana,Southern Africa,2003,5.28,6.34,6.96,3.73,92.46,58.81,4.68,28.64,44.14,4.49,medium
Mali,West Africa,2023,4.4,11.9,18.45,1.44,22.11,68.31,3.61,48.31,56.64,14.83,medium
Madagascar,Southern Africa,2015,3.03,4.75,23.08,2.75,43.97,69.25,1.78,18.14,60.65,0.77,low
Nigeria,West Africa,2004,4.75,6.39,10.45,5.68,42.92,21.28,2.97,9.39,34.06,2.18,medium
Cabo Verde,West Africa,2010,12.8,5.33,12.21,2.21,62.91,76.64,1.94,36.11,57.82,7.99,high
Sao Tome and Principe,Central Africa,2022,7.0,0.48,8.86,4.09,35.6,67.7,2.05,21.28,62.98,9.62,high
Côte d'Ivoire,West Africa,2009,7.65,1.44,9.92,3.47,93.65,75.15,1.09,21.63,29.54,0.43,high
Ethiopia,East Africa,2004,7.03,11.06,22.27,2.08,60.87,41.84,2.21,5.0,59.3,3.62,low
Uganda,East Africa,2021,8.94,24.13,5.97,2.18,57.54,59.32,3.05,31.04,40.67,2.88,medium
DRC,Central Africa,2022,3.93,1.23,6.35,4.23,91.85,45.35,2.43,16.61,57.48,3.21,medium
Equatorial Guinea,Central Africa,2023,-1.66,3.66,21.67,1.06,59.68,78.4,1.4,36.61,69.46,3.59,low
Djibouti,East Africa,2022,3.93,2.1,15.75,4.63,68.01,39.71,0.98,19.19,51.47,0.28,medium
Algeria,North Africa,2020,6.94,7.29,24.72,2.32,44.98,48.28,4.61,25.16,73.27,2.16,medium
Botswana,Southern Africa,2010,1.59,5.51,9.3,3.82,32.59,74.62,2.83,8.44,70.82,0.1,low
Sudan,North Africa,2004,3.97,0.29,12.76,6.96,47.79,53.67,1.68,12.28,73.16,3.19,medium
Mali,West Africa,2014,2.42,24.08,8.04,3.08,103.74,48.29,2.96,38.78,63.06,3.9,low
Togo,West Africa,2005,9.01,18.04,12.86,5.8,72.66,81.32,4.69,21.72,77.02,6.84,medium
Eritrea,East Africa,2011,6.75,8.85,1.36,0.0,65.49,82.06,3.12,31.55,62.7,3.91,medium
Eswatini,Southern Africa,2015,6.45,5.43,16.11,2.32,40.47,78.0,0.0,5.05,21.65,9.69,medium
Egypt,North Africa,2022,6.36,2.37,13.94,3.57,78.23,80.28,5.15,20.08,39.16,1.99,medium
Morocco,North Africa,2006,4.39,3.54,11.65,8.31,32.85,60.83,0.65,20.58,50.77,0.93,medium
Cameroon,Central Africa,2006,5.09,2.8,9.66,0.0,28.66,61.32,2.29,10.95,53.26,1.24,medium
Angola,Southern Africa,2017,0.94,3.58,6.63,3.26,48.82,53.33,1.37,14.29,62.15,3.89,low
Namibia,Southern Africa,2000,-2.06,0.52,16.37,7.14,99.09,68.02,1.76,8.86,38.86,1.24,low
Gabon,Central Africa,2013,4.95,13.12,4.97,1.54,97.96,55.5,2.78,20.26,95.17,9.8,low
Niger,West Africa,2017,5.47,6.0,15.07,2.97,50.98,57.2,0.43,20.2,52.95,16.47,medium
Seychelles,East Africa,2013,8.13,4.02,24.45,4.33,46.52,75.8,2.41,17.9,54.85,1.65,medium
Guinea,West Africa,2009,9.21,8.45,20.91,3.96,27.19,86.32,3.65,23.07,41.59,17.27,medium
Benin,West Africa,2019,9.21,8.57,2.97,7.41,61.56,72.17,1.66,11.61,34.93,3.86,high
Senegal,West Africa,2008,1.51,0.2,8.78,4.62,63.24,97.3,1.11,28.57,52.47,1.36,medium
Algeria,North Africa,2017,3.44,1.2,14.53,6.82,75.79,52.3,2.36,16.07,55.55,1.23,medium
Cabo Verde,West Africa,2011,5.94,4.61,11.58,2.6,78.21,31.92,2.16,13.13,53.26,3.58,medium
Nigeria,West Africa,2000,12.1,11.82,3.6,1.65,56.05,77.86,1.9,24.9,88.1,2.49,high
Sudan,North Africa,2012,8.94,12.36,14.31,2.94,71.12,51.11,1.31,22.42,52.47,18.98,medium
Mozambique,Southern Africa,2001,7.86,2.59,11.94,0.6,45.99,60.07,3.02,36.04,53.28,4.3,high
Madagascar,Southern Africa,2022,3.34,9.79,23.49,4.71,70.74,33.14,3.1,20.4,71.31,3.26,low
Uganda,East Africa,2014,1.85,0.15,10.48,2.54,49.86,48.81,1.43,17.13,51.58,1.91,medium
Nigeria,West Africa,2008,6.87,8.31,19.01,1.82,69.19,37.96,1.57,6.55,65.79,10.03,low
Liberia,West Africa,2011,1.2,4.16,4.4,4.75,67.57,57.18,2.64,15.32,29.42,12.47,medium
Seychelles,East Africa,2014,3.78,2.23,5.83,0.64,61.38,57.9,1.54,38.72,29.58,6.02,medium
Uganda,East Africa,2006,4.16,5.47,16.33,5.43,75.89,66.62,2.68,22.0,57.44,9.58,medium
Cameroon,Central Africa,2006,9.28,6.31,18.5,2.3,28.59,87.32,3.97,23.06,50.37,3.08,medium
Benin,West Africa,2010,3.44,19.61,6.26,6.4,38.7,77.18,2.44,26.79,38.82,5.54,medium
Cabo Verde,West Africa,2006,-2.82,23.98,12.14,2.52,54.6,35.8,1.29,19.92,57.44,7.62,low
Mauritania,West Africa,2018,6.01,3.93,3.71,5.08,31.13,75.94,2.89,24.22,59.18,2.66,high
Gabon,Central Africa,2002,2.4,12.14,10.91,3.95,51.86,67.01,2.32,5.5,40.8,21.81,low
Togo,West Africa,2019,4.63,3.55,17.02,5.36,52.51,63.24,2.35,12.05,44.62,3.44,medium
Zambia,Southern Africa,2008,4.24,6.74,9.39,3.77,86.19,64.59,2.98,16.12,59.33,1.42,medium
Morocco,North Africa,2013,3.68,1.69,10.51,0.0,62.85,68.68,3.19,46.05,34.58,3.99,high
Eswatini,Southern Africa,2003,6.87,1.08,5.22,6.02,80.59,52.55,2.54,17.17,42.92,4.88,high
Guinea-Bissau,West Africa,2009,-0.1,5.39,8.11,3.28,66.03,61.72,2.44,14.53,65.68,12.28,low
Ethiopia,East Africa,2018,2.95,2.73,22.55,5.47,49.29,86.31,4.56,19.84,54.52,4.18,medium
Eritrea,East Africa,2006,6.55,2.42,12.44,5.23,62.67,52.33,3.7,22.95,45.46,0.88,medium
Tanzania,East Africa,2003,2.66,0.44,5.99,1.57,74.59,46.46,3.33,30.1,36.94,1.08,medium
Gambia,West Africa,2012,-0.33,0.93,10.11,1.21,83.87,63.89,2.63,15.34,34.74,6.65,low
Equatorial Guinea,Central Africa,2003,6.51,7.68,2.42,5.14,57.35,44.65,1.49,19.07,52.36,2.02,medium
Uganda,East Africa,2007,7.87,7.63,5.92,2.74,27.05,33.99,3.63,6.86,95.52,2.32,low
Senegal,West Africa,2010,4.37,4.39,20.16,5.84,25.64,58.8,2.64,22.36,66.32,4.37,medium
Uganda,East Africa,2013,-1.38,5.99,11.15,3.05,53.47,91.08,1.92,22.55,28.34,2.12,low
South Africa,Southern Africa,2015,6.62,0.35,23.34,6.06,13.24,64.31,2.26,12.15,69.14,0.44,medium
Cabo Verde,West Africa,2016,-0.48,11.76,11.43,4.56,95.9,68.21,1.53,17.84,39.82,0.1,low
Tanzania,East Africa,2020,5.43,5.94,11.78,4.22,71.94,26.66,3.56,41.58,54.9,0.62,medium
Malawi,Southern Africa,2001,1.84,7.95,15.85,2.56,47.29,72.89,3.18,10.38,43.22,5.75,low
Seychelles,East Africa,2008,1.02,1.26,1.0,4.08,37.81,66.68,2.68,29.5,95.46,7.96,medium
Angola,Southern Africa,2000,3.17,7.31,13.23,6.48,80.56,53.03,2.46,24.28,32.32,5.72,medium
Uganda,East Africa,2000,3.95,7.45,11.71,3.36,37.73,68.24,1.82,45.08,61.27,2.33,medium
Guinea,West Africa,2005,2.57,2.75,20.92,4.83,39.64,68.06,0.37,22.93,41.29,1.11,low
Benin,West Africa,2014,6.27,24.14,17.79,3.62,44.68,45.93,1.09,6.45,69.78,2.32,low
Liberia,West Africa,2021,3.16,2.77,5.2,3.81,62.28,70.97,1.76,38.31,60.87,2.97,medium
Angola,Southern Africa,2018,7.44,15.4,19.45,7.81,72.42,86.55,1.61,27.07,80.09,1.9,medium
Sao Tome and Principe,Central Africa,2015,5.34,11.75,10.43,6.5,83.85,60.9,2.79,35.25,69.36,10.31,medium
Burundi,East Africa,2018,2.41,16.25,6.57,3.7,80.9,49.38,3.31,16.16,41.13,6.49,low
Cameroon,Central Africa,2004,1.9,4.04,13.18,4.04,60.02,61.8,2.37,12.34,113.32,3.16,low
Seychelles,East Africa,2020,-0.44,1.5,10.78,1.75,80.41,80.38,3.91,51.51,66.11,0.23,medium
Cabo Verde,West Africa,2021,5.37,1.25,21.23,3.07,46.58,42.93,1.72,20.92,43.99,2.83,medium
Guinea,West Africa,2002,3.44,9.46,14.04,4.27,23.58,75.41,2.36,63.01,59.11,11.71,medium
Ethiopia,East Africa,2011,-2.62,5.2,13.23,5.63,46.58,52.8,2.45,16.55,67.62,5.76,low
Togo,West Africa,2019,2.89,4.15,17.4,5.37,43.87,69.36,3.59,30.52,66.86,3.43,medium
Tunisia,North Africa,2011,1.8,3.76,18.56,0.73,47.36,54.84,2.61,24.49,64.92,10.76,low
Algeria,North Africa,2020,9.23,0.27,16.7,5.94,40.81,54.79,2.63,20.78,74.33,3.77,high
Libya,North Africa,2022,-0.61,2.94,20.52,3.28,50.78,92.42,0.85,11.95,72.36,2.13,low
Mauritius,East Africa,2011,0.18,17.79,15.65,1.03,72.4,39.64,1.6,11.01,38.05,0.62,low
Kenya,East Africa,2001,7.83,6.8,13.01,6.84,94.31,73.74,3.6,32.23,97.16,0.23,high
Gambia,West Africa,2008,8.57,1.67,19.44,7.16,25.49,96.16,0.42,41.26,94.38,1.82,high
Algeria,North Africa,2005,2.27,12.24,11.45,4.16,34.25,77.34,3.84,22.15,71.02,1.41,low
Botswana,Southern Africa,2011,2.6,7.73,12.2,5.27,44.17,41.04,3.0,25.89,55.77,0.44,medium
Zambia,Southern Africa,2014,6.35,21.37,22.33,5.42,75.31,41.93,1.75,37.05,56.12,3.94,low
Nigeria,West Africa,2011,-2.48,2.27,21.73,6.99,55.9,51.47,1.67,11.82,48.52,11.07,low
Seychelles,East Africa,2004,-1.08,1.71,11.95,5.32,45.52,67.84,4.4,51.69,51.11,6.82,medium
Sudan,North Africa,2007,3.66,15.36,9.28,0.18,74.33,69.07,3.91,45.65,11.26,0.56,medium
Togo,West Africa,2016,9.15,3.63,20.78,8.52,79.13,42.11,2.38,41.38,85.61,0.21,high
Morocco,North Africa,2000,3.19,2.89,16.8,6.16,59.62,49.29,2.63,6.68,78.55,4.73,low
Cabo Verde,West Africa,2005,4.8,8.19,13.89,2.23,43.68,50.39,1.85,20.65,21.47,6.53,medium
Gambia,West Africa,2021,7.9,3.08,10.07,0.93,65.41,61.75,2.63,18.72,72.8,7.68,medium
Guinea-Bissau,West Africa,2002,10.82,1.63,13.99,4.76,55.33,99.0,1.83,3.25,54.85,3.18,high
Senegal,West Africa,2009,2.77,8.83,11.87,2.8,55.18,48.2,2.42,4.98,51.02,0.89,low
Rwanda,East Africa,2004,4.45,5.76,8.01,4.32,49.75,47.41,4.31,9.73,64.86,5.35,medium
Libya,North Africa,2002,9.97,1.08,12.77,5.36,78.5,44.6,2.4,17.05,20.14,4.71,high
Lesotho,Southern Africa,2010,-0.07,8.51,13.59,2.08,65.0,76.44,1.45,16.3,54.78,10.52,low
Mauritius,East Africa,2012,7.58,1.14,9.75,0.71,80.71,64.26,1.13,43.03,56.59,2.75,medium
Nigeria,West Africa,2004,1.45,0.32,17.42,4.46,86.73,48.87,2.63,1.97,56.61,1.26,low
Liberia,West Africa,2001,4.81,6.88,19.73,2.17,69.18,58.47,1.74,39.36,27.65,0.33,medium
Kenya,East Africa,2003,3.77,1.71,17.82,3.87,49.87,50.75,2.75,7.18,63.94,1.33,low
Cameroon,Central Africa,2015,1.63,6.03,10.34,0.14,80.81,70.33,0.88,13.43,76.2,6.94,low
Equatorial Guinea,Central Africa,2020,1.55,44.44,16.53,2.87,69.31,99.0,3.19,33.01,63.15,3.2,low
Côte d'Ivoire,West Africa,2004,5.33,21.04,12.47,5.29,112.07,74.92,1.44,11.5,50.42,3.35,low
Lesotho,Southern Africa,2007,7.49,1.89,4.59,5.01,66.2,63.33,2.55,8.84,108.78,4.46,high
Rwanda,East Africa,2008,4.11,2.49,16.04,1.53,73.95,53.03,2.16,11.63,36.51,1.88,medium
Mozambique,Southern Africa,2008,4.71,8.29,12.88,0.58,65.81,40.82,4.22,16.82,70.47,4.17,low
Niger,West Africa,2005,6.21,0.03,27.56,3.54,58.02,78.21,2.67,27.96,59.87,4.42,medium
